image_file_name,shot_type,stance,bodyweight,ball_hit,ball_land
backhand-close-backward-ad back-ad mid-1088.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-1091.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-1264.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-130.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-2034.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-2335.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-2413.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-2462.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-247.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-252.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-3079.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-3090.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-3151.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-3400.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-3455.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-3809.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-4537.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-4563.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-4643.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-4825.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-4920.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5165.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5205.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5417.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5493.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5649.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5654.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5663.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5825.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5846.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5878.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5899.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-5923.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6253.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6263.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6313.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6603.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6701.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6785.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-6894.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-724.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-7399.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-7449.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-7463.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-7697.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-7718.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8029.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8058.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8093.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8323.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-834.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8701.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8884.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-8891.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-935.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-9499.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-9500.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-9563.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-9685.jpg,backhand,close,backward,ad back,ad mid
backhand-close-backward-ad back-ad mid-9934.jpg,backhand,close,backward,ad back,ad mid
backhand-close-forward-ad back-ad deep-1162.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1234.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1374.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1636.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-164.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1647.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1785.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1814.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1903.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-1973.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2055.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2461.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2593.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2635.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2647.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2702.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-2905.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-3095.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-3679.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-3868.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-3892.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-3990.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4072.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4118.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4125.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4226.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4465.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4656.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4682.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4733.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4913.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-4964.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5290.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5426.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5499.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-554.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5656.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5676.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5734.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5744.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5796.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-590.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-5905.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-6098.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-6234.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-629.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-6484.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-6782.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-6828.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-6851.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7047.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7057.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7091.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7092.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7187.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7198.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7434.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7483.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7523.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7603.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7780.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7872.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-7925.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-797.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8042.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8047.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8063.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8069.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8152.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8399.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8493.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-853.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-8815.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9018.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9439.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9461.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9681.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9910.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9914.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad deep-9956.jpg,backhand,close,forward,ad back,ad deep
backhand-close-forward-ad back-ad mid-1131.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-1431.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-17.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-1724.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-1737.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-1749.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-1817.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-2109.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-2763.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-3055.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-3403.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-3549.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-4275.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-4459.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-4572.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-5142.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-5486.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-5936.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-6230.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-6814.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-7144.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-7479.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-7621.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-7826.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-8010.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-822.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-8613.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-9198.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-9750.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-ad mid-98.jpg,backhand,close,forward,ad back,ad mid
backhand-close-forward-ad back-body deep-1170.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-172.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-2234.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-2235.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-2575.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-2977.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-3156.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-400.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-4132.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-4717.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-5105.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-5466.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-5641.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-6057.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-6500.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-6943.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-7076.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-76.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-7741.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-7807.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-7846.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8196.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8444.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8567.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8772.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8847.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9149.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9363.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9694.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9717.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-deuce deep-1590.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1629.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1824.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1907.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1947.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1958.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2079.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2112.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2275.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2321.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2453.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2669.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2675.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-269.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-3019.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-3079.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-4208.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-506.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5075.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5156.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5162.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5407.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5413.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5747.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5789.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5833.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6410.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6430.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6566.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6712.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6747.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-694.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7159.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7439.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-750.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7692.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7868.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7930.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8079.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8418.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8583.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8607.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8924.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8935.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9048.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9059.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9314.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-965.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9827.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9972.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-body back-body mid-1113.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-1450.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-216.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-3184.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-3700.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-4877.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-49.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-5542.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-6574.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-6703.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-775.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-7943.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-814.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-8553.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-8711.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-8904.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9010.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9316.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9497.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9835.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body mid-deuce mid-1118.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-1339.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-1520.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-1965.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-2477.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3307.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3422.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3455.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3505.jpg,backhand,close,forward,body mid,deuce mid
